"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Austria","AUT","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","3.24522152345491","3.49171515427531","2.89051908857613","28.1205555778427","2.81357323764232","2.38366550147443","2.2293900204313","2.11809738196618","2.11886919121765","2.18530920520033","6.63175373009366","6.72115080797911","6.39347634391312","7.52239789562897","18.2280178588998","15.8111345708432","13.9428721285604","10.1239951048785","13.7820036128211","14.1595969384794","12.7022726892071","13.4518324005012","17.303444576348","1.19132279798465","15.1997973150502","15.1732357579283","12.7611293360231","15.6618162182322","21.550946523174","29.1172891489044","39.941333804688","57.3243348167816","60.7546649494232","17.6572985112249","28.3941728775455","32.1284623132852","19.7527078921043","25.9004175953416","27.353295524799","21.8693291448434","25.1535699409814","30.5622319394709","36.1035263728478","25.6712671915103","29.9351958823258","30.3482515413932","",
"Azerbaijan","AZE","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0683704005115387","0.0702837010940107","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","13.703331537762","13.2183050731202","12.4231551726462","12.3531744447018","11.8078717809445","7.91070270181492","7.99119500048494","9.30027022320066","12.3634846355841","14.8075699724165","24.1935203009321","31.1091462059267","27.8779451273693","36.2208100160696","45.5946768281562","31.8748029245932","33.7814176929167","27.3040500958906","34.6987837801853","34.3529693715915","35.2129442959279","42.5506304275899","54.1867499789158","94.3949898677607","71.3024403938895","77.0634840987753","70.0509832498738","49.3671271351809","54.5621354353657","74.0077279672413","74.7912935279234","97.0381826331265","81.8719049070703","32.323460470183","53.7540274944512","55.8194086593098","43.8195201533199","60.3679132217152","71.7386039739995","70.7009186771385","89.6656892868636","79.4316037973638","87.0772161262627","59.100698397546","","","",
"Benin","BEN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.39930269483832","3.02025598095213","5.07704996083504","15.8952432273629","5.74225240190444","4.06033387402894","3.04578241191292","4.10752995306577","1.81195893415529","27.2129921496854","","","4.75154112600132","5.36112381627573","10.9691657816474","12.7915600712093","20.4228932916052","36.100974188099","37.0804526859059","","34.1078713020187","39.5972639960618","33.5684352781758","26.5496986442539","29.3369827915819","24.0807564673439","18.3398217232684","24.0099351323392","",
"Bulgaria","BGR","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.110806289729006","0.498070776255708","0.306269376966113","0.0455499170377374","","0.960168416991691","0.752091819425646","0.974570547501003","0.57954673955474","4.39948032082927","8.30040889612948","10.7193267362433","17.0262534381006","30.0320750282661","48.7649985302661","16.2999184524276","16.6331928979558","14.554183169972","14.3091222157622","","","","","","","","23.2167986696306","25.2141666549983","",
"Bahrain","BHR","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.2139788699812","123.372976862021","109.467570427078","108.123074839248","73.0930582659604","73.5222293003066","78.0116950650456","86.9250729444086","102.970993799121","108.742693829694","114.145707760654","124.658766682006","77.5832300642372","70.8975297892002","78.0131387570993","57.650842883549","","","66.0947641268208","61.9989509243651","60.1650841222676","61.1893688325359","57.8347625090811","69.5471471318735","70.868982176324","",
"Bahamas, The","BHS","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
